5,3,2,1,2,1,2,1,2,2,1,
10,7,8,8,7,8,8,8,8,7,8,
15,23,24,23,24,23,24,23,23,24,23,
20,54,54,54,54,54,54,54,58,61,59,
25,105,104,104,104,105,104,104,104,104,104,
30,178,178,178,178,178,178,178,177,178,231,
35,369,370,369,369,369,369,369,369,370,400,
40,545,545,546,545,545,545,545,497,450,449,
45,637,637,637,636,647,637,637,637,637,636,
50,873,865,864,865,872,865,864,864,865,872,
55,1144,1144,1152,1144,1145,1143,1153,1145,1144,1153,
60,1481,1481,1487,1481,1481,1484,1480,1482,1481,1481,
65,1882,1877,1881,1877,1880,1878,1881,1877,1882,1877,
70,2329,2329,2330,2324,2327,2325,2324,2329,2325,2329,
75,2870,2868,2877,2872,2868,2866,2867,2871,2864,2868,
80,3480,3478,3478,3477,3478,3476,3477,3478,3477,3479,
85,4191,4191,4188,4191,4189,4192,4190,4189,4190,4190,
90,5064,5060,5063,5055,5053,5052,5052,5055,5053,5052,
95,5808,5804,5809,5802,5805,5806,5804,5805,5805,5807,
100,6722,6716,6719,6724,6719,6724,6721,6722,6722,6720,
105,7790,7788,7785,7787,7786,7788,7785,7786,7787,7791,
110,8923,9042,8930,8924,8920,8934,8915,8918,8919,8914,
115,10295,10287,10300,10288,10291,10286,10293,10291,10289,10291,
120,11702,11710,11703,11696,11710,11708,11703,11699,11716,11707,
125,13286,13274,13277,13277,13278,13277,13284,13270,13271,13285,
130,15064,15031,15027,15040,15028,15027,15022,15036,15034,15023,
135,16797,16776,16768,16775,16770,16789,16779,16774,16777,16769,
140,18564,18573,18577,18579,18579,18583,18572,18572,18583,18574,
145,21046,21044,21035,21043,21017,21035,21050,21047,21050,21028,
150,23056,23045,23052,23047,23032,23040,23055,23033,23032,23029,
155,25503,25471,25485,25465,25474,25466,25491,25480,25475,25478,
160,29620,29626,29605,29619,29625,29632,29619,29615,29625,29621,
165,30546,30538,30541,30526,30528,30531,30528,30532,30541,30547,
170,34883,34859,34807,34831,34833,34824,34828,34827,34824,34873,
175,36609,36581,36541,36535,36553,36570,36620,36570,36543,36549,
180,39967,39958,39954,39964,39979,39928,39948,39954,39960,40019,
185,44451,44458,44405,44410,44453,44451,44386,44439,44436,44430,
190,48626,48634,48600,48607,48748,48618,48623,48632,48662,48620,
195,57808,57807,57848,57794,57800,57818,57806,57835,57804,57810,
200,56277,56299,56291,56318,56267,56320,56304,56305,56368,56466,
205,72859,72871,72842,72864,72807,72869,72839,72849,72837,72832,
210,70728,70719,70686,70688,70681,70672,70681,70683,70652,70669,
215,73450,73920,73404,73432,73457,73458,73520,73545,73563,73524,
220,80018,79968,80059,79999,80108,80030,80030,80019,79986,80030,
225,85759,85638,85555,85607,85667,85610,85649,85529,85547,85550,
230,91921,91910,91936,91904,91992,91812,91861,91843,91843,91888,
235,99881,99740,99754,99711,99758,99679,99664,99747,99733,99907,
240,105603,105571,105564,105530,105523,105483,105526,105661,105498,105597,
245,114133,114249,114030,114094,114104,114101,114052,114154,114045,114251,
250,122190,122151,122248,122154,122177,122245,122198,122278,122188,122186,
255,131439,131346,131366,131324,131395,131357,131414,131363,131391,131356,
260,139403,139327,139215,140480,139286,139309,139213,139210,139325,139200,
265,149572,149445,149408,149333,149404,149365,149420,149507,149486,149401,
270,158550,158558,158546,158633,158667,158482,158479,158657,158556,158688,
275,168284,168156,168128,168167,168176,168373,168137,168245,168164,168200,
280,177556,177529,177459,177464,177441,177515,177509,177473,177454,177485,
285,190185,189983,190016,189965,190090,189976,189932,189966,190055,190036,
290,200835,200454,200406,200373,200369,200396,200408,200349,200557,200411,
295,211393,211451,211332,211304,211316,211332,211300,211304,211291,211304,
300,225441,225470,225453,225407,225469,225399,225509,225461,225446,225574,
305,233153,233191,233142,233083,233101,233250,233157,233142,233160,233172,
310,248750,248902,251751,249748,250053,249603,249904,249873,250130,249893,
315,265510,265437,265653,265567,265471,265505,265604,265584,265417,265680,
320,280600,280817,280787,280717,280620,280505,280724,280573,280534,280702,
325,297152,297160,297047,297066,296970,297133,297219,297052,296960,298398,
330,307407,306794,306907,306941,306825,306979,307070,307061,307252,306974,
335,316629,316390,316782,316586,316436,316367,316565,316299,316324,316517,
340,343616,343523,343643,343477,343605,343588,343410,343706,343629,343541,
345,355441,355275,355608,356065,355537,355555,355286,355382,355346,355320,
350,370845,370688,383590,371019,370849,370844,370568,370806,370792,370732,
355,386824,386740,386845,386736,386966,386915,386827,386815,386914,386697,
360,401605,401521,401675,401505,401805,401999,401639,401636,401556,401755,
365,424915,425436,424968,425136,425091,425045,424935,425079,424964,425032,
370,446917,446930,446920,447010,446980,446915,446855,446877,448765,447296,
375,467691,467777,467760,467720,467537,467686,467573,467899,467632,469064,
380,484099,483842,483883,483809,483804,483834,483825,483886,483999,483984,
385,512193,512287,512259,512281,512232,512125,512273,512208,512151,512102,
390,530816,530759,531572,531386,530908,531353,530692,530837,530724,530764,
395,554633,554696,554671,554576,554525,554596,554634,554591,554631,554782,
400,565901,568477,566179,565885,565972,568377,567690,566165,565979,565883,
405,600904,602146,601192,601046,600838,600817,600693,600767,600832,600949,
410,621165,619448,618957,618844,618983,620169,619279,618904,618905,619121,
415,659631,647064,647082,647066,646746,646986,646883,646841,647116,647004,
420,662646,662615,662601,663017,662672,662665,662706,662626,662629,662617,
425,692189,693525,692115,692154,692068,691912,692181,692139,692135,692259,
430,715857,715804,716077,715700,715529,715508,715626,715814,715659,715558,
435,743013,742870,743038,743203,742795,742571,742632,745151,743248,743162,
440,758102,757942,757979,758187,757969,757656,757553,757630,757545,758029,
445,804929,797981,797314,797465,797408,797345,797149,796980,797042,797289,
450,820814,820679,820403,820218,820589,820319,820566,820573,820624,820706,
455,865393,866386,865828,865602,865355,879775,865463,865458,865875,865423,
460,870642,870741,870906,870883,870513,870493,870730,872072,871185,871054,
465,910300,910053,910375,910087,910235,912952,910757,909947,909823,910021,
470,941821,941567,941369,941301,941464,941741,941508,941362,943389,942026,
475,972216,972014,971676,971935,971691,971357,971620,971864,977031,972280,
480,996417,996718,996332,996169,996761,996891,996354,996173,996238,996229,
485,1042597,1042647,1042600,1042639,1042415,1042582,1042677,1042731,1044216,1043095,
490,1068141,1084361,1068552,1068453,1068458,1068356,1068252,1068142,1069498,1068474,
495,1106685,1106713,1106469,1106326,1106344,1106645,1106473,1106067,1106236,1106662,
500,1123716,1123686,1123636,1123932,1123728,1125032,1124659,1124183,1123796,1123814,
